1	0
2	0.05
3	0.5
4	1
5	5
6	8
7	10
8	14
9	16.11399872
10	120.3114147
11	302.1679296
12	481.4271127
13	590.838693
14	742.1585634
15	953.1487628
16	1160.577439
17	1502.218795
18	1865.853022
19	2242.266221
20	2548.250312
21	2913.602936
22	3288.127352
23	3655.632326
24	4031.932017
25	4417.845858
26	4812.198434
27	5299.819363
28	5772.54317
29	6289.209163
30	6816.661309
31	7427.748114
32	8048.322492
33	8688.241653
34	9267.366976
35	9920.563893
36	10588.70177
37	11336.65381
38	12093.29691
39	12903.51156
40	13759.18177
41	14416.19491
42	15038.44165
43	15711.81585
44	16397.21444
45	17080.53736
46	17703.68744
47	18322.57032
48	18943.09439
49	19635.17063
50	20288.71263
51	21028.63642
52	21750.86045
53	22445.30549
54	23134.89455
55	23819.55285
56	24525.2077
57	25245.78846
58	25955.22649
59	26641.45506
60	27321.4093
61	28000.02615
62	28665.2443
63	29327.00412
64	29989.24763
65	30652.91846
66	31316.96174
67	31991.32412
68	32665.9537
69	33314.79996
70	33977.81378
71	34647.94731
72	35312.154
73	35971.38856
74	36619.60686
75	37275.76597
76	37890.82408
77	38521.74045
78	39173.47544
79	39821.99042
80	40464.24777




